url_id,business_function,page_title,status,status_code,content_chars,quality_status,quality_reasons,retention_ratio,faq_count,table_count,action_count,attachment_count,downloaded_attachment_count,image_count,video_count,supplementary_link_count,asset_failure_count,pagination_detected,pagination_is_complete,pagination_page_count,pagination_failure_count,raw_html_path,response_meta_path,parsed_markdown_path,parsed_json_path,error_type,error,started_at,finished_at
DP-001,예금자보호제도,보호한도,parse_success,200.0,1110,pass,,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/예금자보호제도/DP-001.html,raw/response_meta/예금자보호제도/DP-001.json,parsed/markdown/예금자보호제도/DP-001.md,parsed/json/예금자보호제도/DP-001.json,,,2026-07-21T11:20:09+09:00,2026-07-21T11:20:12+09:00
DP-002,예금자보호제도,예금자보호제도,parse_success,200.0,740,pass,,1.0,0,0,0,0,0,1.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/예금자보호제도/DP-002.html,raw/response_meta/예금자보호제도/DP-002.json,parsed/markdown/예금자보호제도/DP-002.md,parsed/json/예금자보호제도/DP-002.json,,,2026-07-21T11:20:13+09:00,2026-07-21T11:20:15+09:00
DP-003,예금자보호제도,보호대상 금융회사 개요,parse_success,200.0,1073,pass,,1.0,0,1,2,2,2,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/예금자보호제도/DP-003.html,raw/response_meta/예금자보호제도/DP-003.json,parsed/markdown/예금자보호제도/DP-003.md,parsed/json/예금자보호제도/DP-003.json,,,2026-07-21T11:20:16+09:00,2026-07-21T11:20:19+09:00
DP-004,예금자보호제도,보호대상 금융상품 개요,parse_success,200.0,2532,pass,,1.0,0,1,0,0,0,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/예금자보호제도/DP-004.html,raw/response_meta/예금자보호제도/DP-004.json,parsed/markdown/예금자보호제도/DP-004.md,parsed/json/예금자보호제도/DP-004.json,,,2026-07-21T11:20:20+09:00,2026-07-21T11:20:22+09:00
DP-005,예금자보호제도,예금자보호제도 FAQ,paginated_full_collection_created,200.0,12519,pass,,1.0,38,0,0,0,0,0.0,0.0,0.0,0.0,True,True,4,0.0,raw/html/예금자보호제도/DP-005.html,raw/response_meta/예금자보호제도/DP-005.json,parsed/markdown/예금자보호제도/DP-005.md,parsed/json/예금자보호제도/DP-005.json,,,2026-07-21T11:20:24+09:00,2026-07-21T11:20:32+09:00
DP-006,예금자보호제도,예금자보호제도 FAQ,parse_success,200.0,3932,pass,,1.0,17,0,0,0,0,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/예금자보호제도/DP-006.html,raw/response_meta/예금자보호제도/DP-006.json,parsed/markdown/예금자보호제도/DP-006.md,parsed/json/예금자보호제도/DP-006.json,,,2026-07-21T11:20:33+09:00,2026-07-21T11:20:36+09:00
DP-007,예금자보호제도,예금자보호한도(해외),parse_success,200.0,313,pass,,1.0,0,1,0,0,0,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/예금자보호제도/DP-007.html,raw/response_meta/예금자보호제도/DP-007.json,parsed/markdown/예금자보호제도/DP-007.md,parsed/json/예금자보호제도/DP-007.json,,,2026-07-21T11:20:37+09:00,2026-07-21T11:20:40+09:00
BI-001,예금보험금 안내,신청시 구비서류,parse_success,200.0,2334,pass,,1.0,0,1,10,10,10,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/예금보험금 안내/BI-001.html,raw/response_meta/예금보험금 안내/BI-001.json,parsed/markdown/예금보험금 안내/BI-001.md,parsed/json/예금보험금 안내/BI-001.json,,,2026-07-21T11:20:41+09:00,2026-07-21T11:20:44+09:00
BI-002,예금보험금 안내,예금보험금 신청절차,parse_success,200.0,1185,pass,,1.0,0,0,1,0,0,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/예금보험금 안내/BI-002.html,raw/response_meta/예금보험금 안내/BI-002.json,parsed/markdown/예금보험금 안내/BI-002.md,parsed/json/예금보험금 안내/BI-002.json,,,2026-07-21T11:20:45+09:00,2026-07-21T11:20:47+09:00
BI-003,예금보험금 안내,예금보험금이란?,parse_success,200.0,2354,pass,,1.0,0,0,1,0,0,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/예금보험금 안내/BI-003.html,raw/response_meta/예금보험금 안내/BI-003.json,parsed/markdown/예금보험금 안내/BI-003.md,parsed/json/예금보험금 안내/BI-003.json,,,2026-07-21T11:20:48+09:00,2026-07-21T11:20:51+09:00
BI-004,예금보험금 안내,예금보험금 지급대상 금융회사,paginated_full_collection_created,200.0,2564,pass,,1.0,0,1,1,0,0,0.0,0.0,0.0,0.0,True,True,5,0.0,raw/html/예금보험금 안내/BI-004.html,raw/response_meta/예금보험금 안내/BI-004.json,parsed/markdown/예금보험금 안내/BI-004.md,parsed/json/예금보험금 안내/BI-004.json,,,2026-07-21T11:20:52+09:00,2026-07-21T11:21:06+09:00
UN-001,고객 미수령금 신청,고객미수령금,parse_success,200.0,660,pass,,1.0,0,0,4,0,0,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/고객 미수령금 신청/UN-001.html,raw/response_meta/고객 미수령금 신청/UN-001.json,parsed/markdown/고객 미수령금 신청/UN-001.md,parsed/json/고객 미수령금 신청/UN-001.json,,,2026-07-21T11:21:07+09:00,2026-07-21T11:21:10+09:00
UN-002,고객 미수령금 신청,통합신청 소개와 신청 방법 안내,parse_success,200.0,579,pass,,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/고객 미수령금 신청/UN-002.html,raw/response_meta/고객 미수령금 신청/UN-002.json,parsed/markdown/고객 미수령금 신청/UN-002.md,parsed/json/고객 미수령금 신청/UN-002.json,,,2026-07-21T11:21:11+09:00,2026-07-21T11:21:13+09:00
UN-003,고객 미수령금 신청,통합신청 소개와 신청방법 안내,parse_success,200.0,978,pass,,1.0,0,0,2,0,0,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/고객 미수령금 신청/UN-003.html,raw/response_meta/고객 미수령금 신청/UN-003.json,parsed/markdown/고객 미수령금 신청/UN-003.md,parsed/json/고객 미수령금 신청/UN-003.json,,,2026-07-21T11:21:14+09:00,2026-07-21T11:21:15+09:00
UN-004,고객 미수령금 신청,상속인 금융거래조회,parse_success,200.0,1213,pass,,1.0,0,0,1,0,0,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/고객 미수령금 신청/UN-004.html,raw/response_meta/고객 미수령금 신청/UN-004.json,parsed/markdown/고객 미수령금 신청/UN-004.md,parsed/json/고객 미수령금 신청/UN-004.json,,,2026-07-21T11:21:16+09:00,2026-07-21T11:21:19+09:00
MT-001,착오송금 반환 신청,잘못 보낸 돈 되찾기 서비스 (착오송금 반환지원 제도),parse_success,200.0,84,pass,,1.0,0,0,0,0,0,1.0,1.0,1.0,0.0,False,True,1,0.0,raw/html/착오송금 반환 신청/MT-001.html,raw/response_meta/착오송금 반환 신청/MT-001.json,parsed/markdown/착오송금 반환 신청/MT-001.md,parsed/json/착오송금 반환 신청/MT-001.json,,,2026-07-21T11:21:20+09:00,2026-07-21T11:21:23+09:00
MT-002,착오송금 반환 신청,착오송금 반환지원 절차,parse_success,200.0,576,pass,,1.0,0,0,0,0,0,1.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/착오송금 반환 신청/MT-002.html,raw/response_meta/착오송금 반환 신청/MT-002.json,parsed/markdown/착오송금 반환 신청/MT-002.md,parsed/json/착오송금 반환 신청/MT-002.json,,,2026-07-21T11:21:24+09:00,2026-07-21T11:21:26+09:00
MT-003,착오송금 반환 신청,착오송금 반환지원 신청방법,parse_success,200.0,238,pass,,1.0,0,0,2,0,0,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/착오송금 반환 신청/MT-003.html,raw/response_meta/착오송금 반환 신청/MT-003.json,parsed/markdown/착오송금 반환 신청/MT-003.md,parsed/json/착오송금 반환 신청/MT-003.json,,,2026-07-21T11:21:27+09:00,2026-07-21T11:21:30+09:00
MT-004,착오송금 반환 신청,착오송금 반환지원 FAQ,paginated_full_collection_created,200.0,2196,pass,,1.0,12,0,0,0,0,0.0,0.0,0.0,0.0,True,True,2,0.0,raw/html/착오송금 반환 신청/MT-004.html,raw/response_meta/착오송금 반환 신청/MT-004.json,parsed/markdown/착오송금 반환 신청/MT-004.md,parsed/json/착오송금 반환 신청/MT-004.json,,,2026-07-21T11:21:31+09:00,2026-07-21T11:21:34+09:00
MT-005,착오송금 반환 신청,착오송금 반환지원 주요 FAQ,parse_success,200.0,1734,pass,,1.0,10,0,0,0,0,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/착오송금 반환 신청/MT-005.html,raw/response_meta/착오송금 반환 신청/MT-005.json,parsed/markdown/착오송금 반환 신청/MT-005.md,parsed/json/착오송금 반환 신청/MT-005.json,,,2026-07-21T11:21:36+09:00,2026-07-21T11:21:37+09:00
MT-006,착오송금 반환 신청,착오송금 수취인 유의사항,parse_success,200.0,688,pass,,1.0,0,0,1,0,0,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/착오송금 반환 신청/MT-006.html,raw/response_meta/착오송금 반환 신청/MT-006.json,parsed/markdown/착오송금 반환 신청/MT-006.md,parsed/json/착오송금 반환 신청/MT-006.json,,,2026-07-21T11:21:38+09:00,2026-07-21T11:21:40+09:00
MT-007,착오송금 반환 신청,착오송금 수취인 구비서류 안내,parse_success,200.0,518,pass,,1.0,0,1,4,4,4,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/착오송금 반환 신청/MT-007.html,raw/response_meta/착오송금 반환 신청/MT-007.json,parsed/markdown/착오송금 반환 신청/MT-007.md,parsed/json/착오송금 반환 신청/MT-007.json,,,2026-07-21T11:21:41+09:00,2026-07-21T11:21:43+09:00
MT-008,착오송금 반환 신청,착오송금인 구비서류 안내,parse_success,200.0,3656,pass,,1.0,0,5,20,20,20,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/착오송금 반환 신청/MT-008.html,raw/response_meta/착오송금 반환 신청/MT-008.json,parsed/markdown/착오송금 반환 신청/MT-008.md,parsed/json/착오송금 반환 신청/MT-008.json,,,2026-07-21T11:21:44+09:00,2026-07-21T11:21:45+09:00
MT-009,착오송금 반환 신청,반환지원절차,parse_success,200.0,506,pass,,1.0,0,0,0,0,0,1.0,0.0,1.0,0.0,False,True,1,0.0,raw/html/착오송금 반환 신청/MT-009.html,raw/response_meta/착오송금 반환 신청/MT-009.json,parsed/markdown/착오송금 반환 신청/MT-009.md,parsed/json/착오송금 반환 신청/MT-009.json,,,2026-07-21T11:21:47+09:00,2026-07-21T11:21:48+09:00
MT-010,착오송금 반환 신청,관련 법령 및 규정,parse_success,200.0,290,pass,,1.0,0,0,4,0,0,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/착오송금 반환 신청/MT-010.html,raw/response_meta/착오송금 반환 신청/MT-010.json,parsed/markdown/착오송금 반환 신청/MT-010.md,parsed/json/착오송금 반환 신청/MT-010.json,,,2026-07-21T11:21:50+09:00,2026-07-21T11:21:51+09:00
MT-011,착오송금 반환 신청,상황선택,parse_success,200.0,125,pass,,1.0,0,0,3,0,0,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/착오송금 반환 신청/MT-011.html,raw/response_meta/착오송금 반환 신청/MT-011.json,parsed/markdown/착오송금 반환 신청/MT-011.md,parsed/json/착오송금 반환 신청/MT-011.json,,,2026-07-21T11:21:53+09:00,2026-07-21T11:21:54+09:00
MT-012,착오송금 반환 신청,방문접수안내,parse_success,200.0,674,pass,,1.0,0,0,4,2,2,5.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/착오송금 반환 신청/MT-012.html,raw/response_meta/착오송금 반환 신청/MT-012.json,parsed/markdown/착오송금 반환 신청/MT-012.md,parsed/json/착오송금 반환 신청/MT-012.json,,,2026-07-21T11:21:55+09:00,2026-07-21T11:21:57+09:00
MT-013,착오송금 반환 신청,착오송금인 유의사항,parse_success,200.0,2312,pass,,1.0,0,2,0,0,0,4.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/착오송금 반환 신청/MT-013.html,raw/response_meta/착오송금 반환 신청/MT-013.json,parsed/markdown/착오송금 반환 신청/MT-013.md,parsed/json/착오송금 반환 신청/MT-013.json,,,2026-07-21T11:21:59+09:00,2026-07-21T11:22:01+09:00
MT-014,착오송금 반환 신청,착오송금반환지원 > 착오송금인 > 반환지원 신청하기 > 신청대상여부 확인,link_metadata_created,,0,,,,0,0,1,0,0,,,,,False,True,0,,,,,,,,2026-07-21T11:22:02+09:00,2026-07-21T11:22:02+09:00
MT-015,착오송금 반환 신청,착오송금 반환지원 신청대상,parse_success,200.0,417,pass,,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/착오송금 반환 신청/MT-015.html,raw/response_meta/착오송금 반환 신청/MT-015.json,parsed/markdown/착오송금 반환 신청/MT-015.md,parsed/json/착오송금 반환 신청/MT-015.json,,,2026-07-21T11:22:02+09:00,2026-07-21T11:22:04+09:00
DA-001,채무조정 안내,채무조정제도,parse_success,200.0,1581,pass,,1.0,0,1,1,0,0,2.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/채무조정 안내/DA-001.html,raw/response_meta/채무조정 안내/DA-001.json,parsed/markdown/채무조정 안내/DA-001.md,parsed/json/채무조정 안내/DA-001.json,,,2026-07-21T11:22:06+09:00,2026-07-21T11:22:08+09:00
DA-002,채무조정 안내,채무정보 조회 ＆ 상담신청,parse_success,200.0,299,pass,,1.0,0,0,1,0,0,1.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/채무조정 안내/DA-002.html,raw/response_meta/채무조정 안내/DA-002.json,parsed/markdown/채무조정 안내/DA-002.md,parsed/json/채무조정 안내/DA-002.json,,,2026-07-21T11:22:09+09:00,2026-07-21T11:22:12+09:00
DA-003,채무조정 안내,채무조정,parse_success,200.0,1672,pass,,1.0,0,2,0,0,0,2.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/채무조정 안내/DA-003.html,raw/response_meta/채무조정 안내/DA-003.json,parsed/markdown/채무조정 안내/DA-003.md,parsed/json/채무조정 안내/DA-003.json,,,2026-07-21T11:22:13+09:00,2026-07-21T11:22:16+09:00
DA-004,채무조정 안내,신용회복 지원,parse_success,200.0,2298,pass,,1.0,0,1,0,0,0,2.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/채무조정 안내/DA-004.html,raw/response_meta/채무조정 안내/DA-004.json,parsed/markdown/채무조정 안내/DA-004.md,parsed/json/채무조정 안내/DA-004.json,,,2026-07-21T11:22:17+09:00,2026-07-21T11:22:20+09:00
DA-005,채무조정 안내,파산면책,parse_success,200.0,2988,pass,,1.0,0,0,0,0,0,1.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/채무조정 안내/DA-005.html,raw/response_meta/채무조정 안내/DA-005.json,parsed/markdown/채무조정 안내/DA-005.md,parsed/json/채무조정 안내/DA-005.json,,,2026-07-21T11:22:21+09:00,2026-07-21T11:22:24+09:00
DA-006,채무조정 안내,개인회생,parse_success,200.0,1848,pass,,1.0,0,3,0,0,0,1.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/채무조정 안내/DA-006.html,raw/response_meta/채무조정 안내/DA-006.json,parsed/markdown/채무조정 안내/DA-006.md,parsed/json/채무조정 안내/DA-006.json,,,2026-07-21T11:22:25+09:00,2026-07-21T11:22:28+09:00
DA-007,채무조정 안내,부채증명원/금융거래정보신청,parse_success,200.0,1019,pass,,1.0,0,1,4,3,3,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/채무조정 안내/DA-007.html,raw/response_meta/채무조정 안내/DA-007.json,parsed/markdown/채무조정 안내/DA-007.md,parsed/json/채무조정 안내/DA-007.json,,,2026-07-21T11:22:29+09:00,2026-07-21T11:22:31+09:00
DA-008,채무조정 안내,채무정보조회 FAQ,parse_success,200.0,1001,pass,,1.0,7,0,0,0,0,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/채무조정 안내/DA-008.html,raw/response_meta/채무조정 안내/DA-008.json,parsed/markdown/채무조정 안내/DA-008.md,parsed/json/채무조정 안내/DA-008.json,,,2026-07-21T11:22:33+09:00,2026-07-21T11:22:34+09:00
HP-001,은닉재산 신고,금융부실관련자 은닉재산 신고 신고센터,parse_success,200.0,1759,pass,,1.0,0,2,2,0,0,3.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/은닉재산 신고/HP-001.html,raw/response_meta/은닉재산 신고/HP-001.json,parsed/markdown/은닉재산 신고/HP-001.md,parsed/json/은닉재산 신고/HP-001.json,,,2026-07-21T11:22:35+09:00,2026-07-21T11:22:39+09:00
HP-002,은닉재산 신고,은닉재산 신고 FAQ,paginated_full_collection_created,200.0,2619,pass,,1.0,12,0,0,0,0,0.0,0.0,0.0,0.0,True,True,2,0.0,raw/html/은닉재산 신고/HP-002.html,raw/response_meta/은닉재산 신고/HP-002.json,parsed/markdown/은닉재산 신고/HP-002.md,parsed/json/은닉재산 신고/HP-002.json,,,2026-07-21T11:22:40+09:00,2026-07-21T11:22:43+09:00
HP-003,은닉재산 신고,신고센터 소개,parse_success,200.0,329,pass,,1.0,0,0,2,2,2,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/은닉재산 신고/HP-003.html,raw/response_meta/은닉재산 신고/HP-003.json,parsed/markdown/은닉재산 신고/HP-003.md,parsed/json/은닉재산 신고/HP-003.json,,,2026-07-21T11:22:45+09:00,2026-07-21T11:22:47+09:00
HP-004,은닉재산 신고,부실책임조사 진행현황 조회 (개인정보 수집이용 동의),link_metadata_created,,0,,,,0,0,1,0,0,,,,,False,True,0,,,,,,,,2026-07-21T11:22:48+09:00,2026-07-21T11:22:48+09:00
