chunk_id,status,dimensions,request_mode,encoding_format,error
DP-001_chunk_000,success,1024,single_input,float,
DP-002_chunk_000,success,1024,single_input,float,
DP-002_chunk_001,success,1024,single_input,float,
DP-002_chunk_002,success,1024,single_input,float,
DP-002_chunk_003,success,1024,single_input,float,
DP-003_chunk_000,success,1024,single_input,float,
DP-003_chunk_001,success,1024,single_input,float,
DP-003_chunk_002,success,1024,single_input,float,
DP-003_chunk_003,success,1024,single_input,float,
DP-004_chunk_000,success,1024,single_input,float,
DP-004_chunk_001,success,1024,single_input,float,
DP-004_chunk_002,success,1024,single_input,float,
DP-004_chunk_003,success,1024,single_input,float,
DP-004_chunk_004,success,1024,single_input,float,
DP-004_chunk_005,success,1024,single_input,float,
DP-004_chunk_006,success,1024,single_input,float,
DP-004_chunk_007,success,1024,single_input,float,
DP-004_chunk_008,success,1024,single_input,float,
DP-004_chunk_009,success,1024,single_input,float,
DP-004_chunk_010,success,1024,single_input,float,
DP-004_chunk_011,success,1024,single_input,float,
DP-004_chunk_012,success,1024,single_input,float,
DP-005_chunk_000,success,1024,single_input,float,
DP-005_chunk_001,success,1024,single_input,float,
DP-005_chunk_002,success,1024,single_input,float,
DP-005_chunk_003,success,1024,single_input,float,
DP-005_chunk_004,success,1024,single_input,float,
DP-005_chunk_005,success,1024,single_input,float,
DP-005_chunk_006,success,1024,single_input,float,
DP-005_chunk_007,success,1024,single_input,float,
DP-005_chunk_008,success,1024,single_input,float,
DP-005_chunk_009,success,1024,single_input,float,
DP-005_chunk_010,success,1024,single_input,float,
DP-005_chunk_011,success,1024,single_input,float,
DP-005_chunk_012,success,1024,single_input,float,
DP-005_chunk_013,success,1024,single_input,float,
DP-005_chunk_014,success,1024,single_input,float,
DP-005_chunk_015,success,1024,single_input,float,
DP-005_chunk_016,success,1024,single_input,float,
DP-005_chunk_017,success,1024,single_input,float,
DP-005_chunk_018,success,1024,single_input,float,
DP-005_chunk_019,success,1024,single_input,float,
DP-005_chunk_020,success,1024,single_input,float,
DP-005_chunk_021,success,1024,single_input,float,
DP-005_chunk_022,success,1024,single_input,float,
DP-005_chunk_023,success,1024,single_input,float,
DP-005_chunk_024,success,1024,single_input,float,
DP-005_chunk_025,success,1024,single_input,float,
DP-005_chunk_026,success,1024,single_input,float,
DP-005_chunk_027,success,1024,single_input,float,
DP-005_chunk_028,success,1024,single_input,float,
DP-005_chunk_029,success,1024,single_input,float,
DP-005_chunk_030,success,1024,single_input,float,
DP-005_chunk_031,success,1024,single_input,float,
DP-005_chunk_032,success,1024,single_input,float,
DP-005_chunk_033,success,1024,single_input,float,
DP-005_chunk_034,success,1024,single_input,float,
DP-005_chunk_035,success,1024,single_input,float,
DP-005_chunk_036,success,1024,single_input,float,
DP-005_chunk_037,success,1024,single_input,float,
DP-006_chunk_000,success,1024,single_input,float,
DP-006_chunk_001,success,1024,single_input,float,
DP-006_chunk_002,success,1024,single_input,float,
DP-006_chunk_003,success,1024,single_input,float,
DP-006_chunk_004,success,1024,single_input,float,
DP-006_chunk_005,success,1024,single_input,float,
DP-006_chunk_006,success,1024,single_input,float,
DP-006_chunk_007,success,1024,single_input,float,
DP-006_chunk_008,success,1024,single_input,float,
DP-006_chunk_009,success,1024,single_input,float,
DP-006_chunk_010,success,1024,single_input,float,
DP-006_chunk_011,success,1024,single_input,float,
DP-006_chunk_012,success,1024,single_input,float,
DP-006_chunk_013,success,1024,single_input,float,
DP-006_chunk_014,success,1024,single_input,float,
DP-006_chunk_015,success,1024,single_input,float,
DP-006_chunk_016,success,1024,single_input,float,
DP-007_chunk_000,success,1024,single_input,float,
DP-007_chunk_001,success,1024,single_input,float,
BI-001_chunk_000,success,1024,single_input,float,
BI-001_chunk_001,success,1024,single_input,float,
BI-001_chunk_002,success,1024,single_input,float,
BI-001_chunk_003,success,1024,single_input,float,
BI-001_chunk_004,success,1024,single_input,float,
BI-001_chunk_005,success,1024,single_input,float,
BI-001_chunk_006,success,1024,single_input,float,
BI-002_chunk_000,success,1024,single_input,float,
BI-002_chunk_001,success,1024,single_input,float,
BI-002_chunk_002,success,1024,single_input,float,
BI-002_chunk_003,success,1024,single_input,float,
BI-003_chunk_000,success,1024,single_input,float,
BI-003_chunk_001,success,1024,single_input,float,
BI-003_chunk_002,success,1024,single_input,float,
BI-003_chunk_003,success,1024,single_input,float,
BI-003_chunk_004,success,1024,single_input,float,
BI-003_chunk_005,success,1024,single_input,float,
BI-003_chunk_006,success,1024,single_input,float,
BI-003_chunk_007,success,1024,single_input,float,
BI-003_chunk_008,success,1024,single_input,float,
BI-004_chunk_000,success,1024,single_input,float,
BI-004_chunk_001,success,1024,single_input,float,
BI-004_chunk_002,success,1024,single_input,float,
BI-004_chunk_003,success,1024,single_input,float,
BI-004_chunk_004,success,1024,single_input,float,
BI-004_chunk_005,success,1024,single_input,float,
BI-004_chunk_006,success,1024,single_input,float,
BI-004_chunk_007,success,1024,single_input,float,
BI-004_chunk_008,success,1024,single_input,float,
BI-004_chunk_009,success,1024,single_input,float,
BI-004_chunk_010,success,1024,single_input,float,
BI-004_chunk_011,success,1024,single_input,float,
BI-004_chunk_012,success,1024,single_input,float,
BI-004_chunk_013,success,1024,single_input,float,
BI-004_chunk_014,success,1024,single_input,float,
BI-004_chunk_015,success,1024,single_input,float,
BI-004_chunk_016,success,1024,single_input,float,
BI-004_chunk_017,success,1024,single_input,float,
BI-004_chunk_018,success,1024,single_input,float,
BI-004_chunk_019,success,1024,single_input,float,
BI-004_chunk_020,success,1024,single_input,float,
BI-004_chunk_021,success,1024,single_input,float,
BI-004_chunk_022,success,1024,single_input,float,
BI-004_chunk_023,success,1024,single_input,float,
BI-004_chunk_024,success,1024,single_input,float,
BI-004_chunk_025,success,1024,single_input,float,
BI-004_chunk_026,success,1024,single_input,float,
BI-004_chunk_027,success,1024,single_input,float,
BI-004_chunk_028,success,1024,single_input,float,
BI-004_chunk_029,success,1024,single_input,float,
BI-004_chunk_030,success,1024,single_input,float,
BI-004_chunk_031,success,1024,single_input,float,
BI-004_chunk_032,success,1024,single_input,float,
BI-004_chunk_033,success,1024,single_input,float,
BI-004_chunk_034,success,1024,single_input,float,
BI-004_chunk_035,success,1024,single_input,float,
BI-004_chunk_036,success,1024,single_input,float,
BI-004_chunk_037,success,1024,single_input,float,
BI-004_chunk_038,success,1024,single_input,float,
BI-004_chunk_039,success,1024,single_input,float,
BI-004_chunk_040,success,1024,single_input,float,
BI-004_chunk_041,success,1024,single_input,float,
BI-004_chunk_042,success,1024,single_input,float,
BI-004_chunk_043,success,1024,single_input,float,
BI-004_chunk_044,success,1024,single_input,float,
BI-004_chunk_045,success,1024,single_input,float,
BI-004_chunk_046,success,1024,single_input,float,
UN-001_chunk_000,success,1024,single_input,float,
UN-001_chunk_001,success,1024,single_input,float,
UN-001_chunk_002,success,1024,single_input,float,
UN-001_chunk_003,success,1024,single_input,float,
UN-001_chunk_004,success,1024,single_input,float,
UN-002_chunk_000,success,1024,single_input,float,
UN-003_chunk_000,success,1024,single_input,float,
UN-003_chunk_001,success,1024,single_input,float,
UN-003_chunk_002,success,1024,single_input,float,
UN-003_chunk_003,success,1024,single_input,float,
UN-003_chunk_004,success,1024,single_input,float,
UN-003_chunk_005,success,1024,single_input,float,
UN-003_chunk_006,success,1024,single_input,float,
UN-003_chunk_007,success,1024,single_input,float,
UN-004_chunk_000,success,1024,single_input,float,
UN-004_chunk_001,success,1024,single_input,float,
UN-004_chunk_002,success,1024,single_input,float,
UN-004_chunk_003,success,1024,single_input,float,
MT-001_chunk_000,success,1024,single_input,float,
MT-002_chunk_000,success,1024,single_input,float,
MT-003_chunk_000,success,1024,single_input,float,
MT-004_chunk_000,success,1024,single_input,float,
MT-004_chunk_001,success,1024,single_input,float,
MT-004_chunk_002,success,1024,single_input,float,
MT-004_chunk_003,success,1024,single_input,float,
MT-004_chunk_004,success,1024,single_input,float,
MT-004_chunk_005,success,1024,single_input,float,
MT-004_chunk_006,success,1024,single_input,float,
MT-004_chunk_007,success,1024,single_input,float,
MT-004_chunk_008,success,1024,single_input,float,
MT-004_chunk_009,success,1024,single_input,float,
MT-004_chunk_010,success,1024,single_input,float,
MT-004_chunk_011,success,1024,single_input,float,
MT-005_chunk_000,success,1024,single_input,float,
MT-005_chunk_001,success,1024,single_input,float,
MT-005_chunk_002,success,1024,single_input,float,
MT-005_chunk_003,success,1024,single_input,float,
MT-005_chunk_004,success,1024,single_input,float,
MT-005_chunk_005,success,1024,single_input,float,
MT-005_chunk_006,success,1024,single_input,float,
MT-005_chunk_007,success,1024,single_input,float,
MT-005_chunk_008,success,1024,single_input,float,
MT-005_chunk_009,success,1024,single_input,float,
MT-006_chunk_000,success,1024,single_input,float,
MT-007_chunk_000,success,1024,single_input,float,
MT-008_chunk_000,success,1024,single_input,float,
MT-008_chunk_001,success,1024,single_input,float,
MT-008_chunk_002,success,1024,single_input,float,
MT-008_chunk_003,success,1024,single_input,float,
MT-008_chunk_004,success,1024,single_input,float,
MT-008_chunk_005,success,1024,single_input,float,
MT-008_chunk_006,success,1024,single_input,float,
MT-008_chunk_007,success,1024,single_input,float,
MT-008_chunk_008,success,1024,single_input,float,
MT-008_chunk_009,success,1024,single_input,float,
MT-008_chunk_010,success,1024,single_input,float,
MT-008_chunk_011,success,1024,single_input,float,
MT-009_chunk_000,success,1024,single_input,float,
MT-010_chunk_000,success,1024,single_input,float,
MT-010_chunk_001,success,1024,single_input,float,
MT-010_chunk_002,success,1024,single_input,float,
MT-010_chunk_003,success,1024,single_input,float,
MT-011_chunk_000,success,1024,single_input,float,
MT-012_chunk_000,success,1024,single_input,float,
MT-012_chunk_001,success,1024,single_input,float,
MT-013_chunk_000,success,1024,single_input,float,
MT-013_chunk_001,success,1024,single_input,float,
MT-013_chunk_002,success,1024,single_input,float,
MT-013_chunk_003,success,1024,single_input,float,
MT-013_chunk_004,success,1024,single_input,float,
MT-013_chunk_005,success,1024,single_input,float,
MT-013_chunk_006,success,1024,single_input,float,
MT-015_chunk_000,success,1024,single_input,float,
MT-015_chunk_001,success,1024,single_input,float,
MT-015_chunk_002,success,1024,single_input,float,
MT-015_chunk_003,success,1024,single_input,float,
DA-001_chunk_000,success,1024,single_input,float,
DA-001_chunk_001,success,1024,single_input,float,
DA-001_chunk_002,success,1024,single_input,float,
DA-001_chunk_003,success,1024,single_input,float,
DA-002_chunk_000,success,1024,single_input,float,
DA-002_chunk_001,success,1024,single_input,float,
DA-002_chunk_002,success,1024,single_input,float,
DA-003_chunk_000,success,1024,single_input,float,
DA-003_chunk_001,success,1024,single_input,float,
DA-003_chunk_002,success,1024,single_input,float,
DA-003_chunk_003,success,1024,single_input,float,
DA-003_chunk_004,success,1024,single_input,float,
DA-003_chunk_005,success,1024,single_input,float,
DA-003_chunk_006,success,1024,single_input,float,
DA-003_chunk_007,success,1024,single_input,float,
DA-003_chunk_008,success,1024,single_input,float,
DA-004_chunk_000,success,1024,single_input,float,
DA-004_chunk_001,success,1024,single_input,float,
DA-004_chunk_002,success,1024,single_input,float,
DA-004_chunk_003,success,1024,single_input,float,
DA-004_chunk_004,success,1024,single_input,float,
DA-004_chunk_005,success,1024,single_input,float,
DA-004_chunk_006,success,1024,single_input,float,
DA-004_chunk_007,success,1024,single_input,float,
DA-004_chunk_008,success,1024,single_input,float,
DA-004_chunk_009,success,1024,single_input,float,
DA-004_chunk_010,success,1024,single_input,float,
DA-004_chunk_011,success,1024,single_input,float,
DA-005_chunk_000,success,1024,single_input,float,
DA-005_chunk_001,success,1024,single_input,float,
DA-005_chunk_002,success,1024,single_input,float,
DA-005_chunk_003,success,1024,single_input,float,
DA-005_chunk_004,success,1024,single_input,float,
DA-005_chunk_005,success,1024,single_input,float,
DA-005_chunk_006,success,1024,single_input,float,
DA-005_chunk_007,success,1024,single_input,float,
DA-005_chunk_008,success,1024,single_input,float,
DA-005_chunk_009,success,1024,single_input,float,
DA-005_chunk_010,success,1024,single_input,float,
DA-005_chunk_011,success,1024,single_input,float,
DA-005_chunk_012,success,1024,single_input,float,
DA-006_chunk_000,success,1024,single_input,float,
DA-006_chunk_001,success,1024,single_input,float,
DA-006_chunk_002,success,1024,single_input,float,
DA-006_chunk_003,success,1024,single_input,float,
DA-006_chunk_004,success,1024,single_input,float,
DA-006_chunk_005,success,1024,single_input,float,
DA-006_chunk_006,success,1024,single_input,float,
DA-006_chunk_007,success,1024,single_input,float,
DA-006_chunk_008,success,1024,single_input,float,
DA-006_chunk_009,success,1024,single_input,float,
DA-006_chunk_010,success,1024,single_input,float,
DA-006_chunk_011,success,1024,single_input,float,
DA-006_chunk_012,success,1024,single_input,float,
DA-007_chunk_000,success,1024,single_input,float,
DA-007_chunk_001,success,1024,single_input,float,
DA-007_chunk_002,success,1024,single_input,float,
DA-007_chunk_003,success,1024,single_input,float,
DA-007_chunk_004,success,1024,single_input,float,
DA-007_chunk_005,success,1024,single_input,float,
DA-008_chunk_000,success,1024,single_input,float,
DA-008_chunk_001,success,1024,single_input,float,
DA-008_chunk_002,success,1024,single_input,float,
DA-008_chunk_003,success,1024,single_input,float,
DA-008_chunk_004,success,1024,single_input,float,
DA-008_chunk_005,success,1024,single_input,float,
DA-008_chunk_006,success,1024,single_input,float,
HP-001_chunk_000,success,1024,single_input,float,
HP-001_chunk_001,success,1024,single_input,float,
HP-001_chunk_002,success,1024,single_input,float,
HP-001_chunk_003,success,1024,single_input,float,
HP-001_chunk_004,success,1024,single_input,float,
HP-001_chunk_005,success,1024,single_input,float,
HP-001_chunk_006,success,1024,single_input,float,
HP-001_chunk_007,success,1024,single_input,float,
HP-001_chunk_008,success,1024,single_input,float,
HP-001_chunk_009,success,1024,single_input,float,
HP-002_chunk_000,success,1024,single_input,float,
HP-002_chunk_001,success,1024,single_input,float,
HP-002_chunk_002,success,1024,single_input,float,
HP-002_chunk_003,success,1024,single_input,float,
HP-002_chunk_004,success,1024,single_input,float,
HP-002_chunk_005,success,1024,single_input,float,
HP-002_chunk_006,success,1024,single_input,float,
HP-002_chunk_007,success,1024,single_input,float,
HP-002_chunk_008,success,1024,single_input,float,
HP-002_chunk_009,success,1024,single_input,float,
HP-002_chunk_010,success,1024,single_input,float,
HP-002_chunk_011,success,1024,single_input,float,
HP-003_chunk_000,success,1024,single_input,float,
HP-003_chunk_001,success,1024,single_input,float,
MT-010_rule_layer01_chunk_000,success,1024,single_input,float,
MT-010_rule_layer01_chunk_001,success,1024,single_input,float,
MT-010_rule_layer01_chunk_002,success,1024,single_input,float,
MT-010_rule_layer01_chunk_003,success,1024,single_input,float,
MT-010_rule_layer01_chunk_004,success,1024,single_input,float,
MT-010_rule_layer01_chunk_005,success,1024,single_input,float,
MT-010_rule_layer01_chunk_006,success,1024,single_input,float,
MT-010_rule_layer01_chunk_007,success,1024,single_input,float,
MT-010_rule_layer01_chunk_008,success,1024,single_input,float,
MT-010_rule_layer01_chunk_009,success,1024,single_input,float,
MT-010_rule_layer01_chunk_010,success,1024,single_input,float,
MT-010_rule_layer01_chunk_011,success,1024,single_input,float,
MT-010_rule_layer01_chunk_012,success,1024,single_input,float,
MT-010_rule_layer01_chunk_013,success,1024,single_input,float,
MT-010_rule_layer01_chunk_014,success,1024,single_input,float,
MT-010_rule_layer01_chunk_015,success,1024,single_input,float,
MT-010_rule_layer01_chunk_016,success,1024,single_input,float,
MT-010_rule_layer01_chunk_017,success,1024,single_input,float,
MT-010_rule_layer01_chunk_018,success,1024,single_input,float,
MT-010_rule_layer01_chunk_019,success,1024,single_input,float,
MT-010_rule_layer01_chunk_020,success,1024,single_input,float,
MT-010_rule_layer01_chunk_021,success,1024,single_input,float,
MT-010_rule_layer01_chunk_022,success,1024,single_input,float,
MT-010_rule_layer01_chunk_023,success,1024,single_input,float,
MT-010_rule_layer01_chunk_024,success,1024,single_input,float,
MT-010_rule_layer01_chunk_025,success,1024,single_input,float,
MT-010_rule_layer01_chunk_026,success,1024,single_input,float,
MT-010_rule_layer01_chunk_027,success,1024,single_input,float,
MT-010_rule_layer01_chunk_028,success,1024,single_input,float,
MT-010_rule_layer01_chunk_029,success,1024,single_input,float,
MT-010_rule_layer01_chunk_030,success,1024,single_input,float,
MT-010_rule_layer01_chunk_031,success,1024,single_input,float,
MT-010_rule_layer01_chunk_032,success,1024,single_input,float,
MT-010_rule_layer01_chunk_033,success,1024,single_input,float,
MT-010_rule_layer01_chunk_034,success,1024,single_input,float,
MT-010_rule_layer01_chunk_035,success,1024,single_input,float,
MT-010_rule_layer01_chunk_036,success,1024,single_input,float,
MT-010_rule_layer01_chunk_037,success,1024,single_input,float,
MT-010_rule_layer01_chunk_038,success,1024,single_input,float,
MT-010_rule_layer01_chunk_039,success,1024,single_input,float,
MT-010_rule_layer01_chunk_040,success,1024,single_input,float,
MT-010_rule_layer01_chunk_041,success,1024,single_input,float,
MT-010_operation_layer01_chunk_000,success,1024,single_input,float,
MT-010_operation_layer01_chunk_001,success,1024,single_input,float,
MT-010_operation_layer01_chunk_002,success,1024,single_input,float,
MT-010_operation_layer01_chunk_003,success,1024,single_input,float,
MT-010_operation_layer01_chunk_004,success,1024,single_input,float,
MT-010_operation_layer01_chunk_005,success,1024,single_input,float,
MT-010_operation_layer01_chunk_006,success,1024,single_input,float,
MT-010_operation_layer01_chunk_007,success,1024,single_input,float,
MT-010_operation_layer01_chunk_008,success,1024,single_input,float,
MT-010_operation_layer01_chunk_009,success,1024,single_input,float,
MT-010_operation_layer01_chunk_010,success,1024,single_input,float,
MT-010_operation_layer01_chunk_011,success,1024,single_input,float,
MT-010_operation_layer01_chunk_012,success,1024,single_input,float,
MT-010_operation_layer01_chunk_013,success,1024,single_input,float,
MT-010_operation_layer01_chunk_014,success,1024,single_input,float,
MT-010_operation_layer01_chunk_015,success,1024,single_input,float,
MT-010_operation_layer01_chunk_016,success,1024,single_input,float,
MT-010_operation_layer01_chunk_017,success,1024,single_input,float,
DP-003-ATT-57b9a22e_chunk_000,success,1024,single_input,float,
DP-003-ATT-57b9a22e_chunk_001,success,1024,single_input,float,
DP-003-ATT-57b9a22e_chunk_002,success,1024,single_input,float,
DP-003-ATT-57b9a22e_chunk_003,success,1024,single_input,float,
DP-003-ATT-57b9a22e_chunk_004,success,1024,single_input,float,
DP-003-ATT-57b9a22e_chunk_005,success,1024,single_input,float,
DP-003-ATT-57b9a22e_chunk_006,success,1024,single_input,float,
DP-003-ATT-57b9a22e_chunk_007,success,1024,single_input,float,
DP-003-ATT-57b9a22e_chunk_008,success,1024,single_input,float,
DP-003-ATT-57b9a22e_chunk_009,success,1024,single_input,float,
DP-003-ATT-57b9a22e_chunk_010,success,1024,single_input,float,
DP-003-ATT-57b9a22e_chunk_011,success,1024,single_input,float,
DP-003-ATT-57b9a22e_chunk_012,success,1024,single_input,float,
DP-003-ATT-57b9a22e_chunk_013,success,1024,single_input,float,
DP-003-ATT-57b9a22e_chunk_014,success,1024,single_input,float,
DP-003-ATT-57b9a22e_chunk_015,success,1024,single_input,float,
DP-003-ATT-57b9a22e_chunk_016,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_000,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_001,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_002,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_003,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_004,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_005,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_006,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_007,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_008,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_009,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_010,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_011,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_012,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_013,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_014,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_015,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_016,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_017,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_018,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_019,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_020,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_021,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_022,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_023,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_024,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_025,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_026,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_027,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_028,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_029,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_030,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_031,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_032,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_033,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_034,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_035,success,1024,single_input,float,
DP-003-ATT-3b79157f_chunk_036,success,1024,single_input,float,
